id,name,now_cost,position,team,goals_scored,bonus,form,in_dreamteam,expected_assists_per_90,cost_change_start_fall,red_cards,penalties_saved,points_per_game_rank_type,yellow_cards,starts,ep_this,direct_freekicks_order,news,news_added,expected_goal_involvements_per_90,ict_index_rank,value_season,cost_change_start,dreamteam_count,transfers_in_event,threat,creativity,minutes,creativity_rank_type,expected_goals,selected_rank_type,selected_by_percent,transfers_out_event,cost_change_event_fall,goals_conceded_per_90,expected_goal_involvements,chance_of_playing_next_round,points_per_game,creativity_rank,expected_assists,total_points,influence_rank_type,saves,threat_rank,ep_next,own_goals,now_cost_rank_type,points_per_game_rank,clean_sheets,chance_of_playing_this_round,goals_conceded,transfers_out,expected_goals_per_90,form_rank_type,expected_goals_conceded_per_90,threat_rank_type,saves_per_90,now_cost_rank,web_name,assists,cost_change_event,event_points,starts_per_90,bps,ict_index,clean_sheets_per_90,form_rank,corners_and_indirect_freekicks_order,penalties_order,ict_index_rank_type,transfers_in,status,penalties_missed,selected_rank,influence,expected_goals_conceded,value_form,influence_rank
3,Granit Xhaka,49,MID,Arsenal,3,7,2.2,False,0.14,1,0,0,28,3,21,4.4,3.0,,,0.25,31,16.9,-1,1,1451,322.0,492.7,1786,13,2.09,33,2.8,4917,0,0.91,4.94,,4.0,17,2.85,83,20,0,62,2.7,0,138,62,8,,18,697905,0.11,58,1.02,40,0.0,239,Xhaka,5,0,2,1.06,362,124.1,0.4,144,,,22,826093,a,0,100,425.2,20.26,0.4,49
4,Mohamed Elneny,41,MID,Arsenal,0,0,0.0,False,0.03,4,0,0,176,0,1,0.0,,Knee injury - Unknown return date,2023-01-26T10:00:07.778526Z,0.03,474,1.5,-4,1,260,0.0,5.4,111,209,0.00,68,0.7,1471,0,1.62,0.04,0.0,1.2,425,0.04,6,214,0,549,0.0,0,321,401,0,0.0,2,263028,0.0,182,1.05,220,0.0,624,Elneny,0,0,0,0.81,27,1.1,0.0,493,,,218,196784,i,0,218,4.6,1.29,0.0,469
5,Rob Holding,42,DEF,Arsenal,0,0,0.2,False,0.0,3,0,0,162,0,0,0.4,,,,0.0,497,1.4,-3,0,30,0.0,0.1,16,176,0.00,162,0.1,59,0,0.0,0.00,,1.0,486,0.00,6,170,0,556,0.7,0,169,436,0,,0,17969,0.0,129,1.58,221,0.0,597,Holding,0,0,0,0.0,20,0.3,0.0,376,,,175,6957,a,0,433,3.4,0.28,0.0,477
6,Thomas Partey,47,MID,Arsenal,2,5,1.5,False,0.06,3,0,0,63,2,18,3.0,,,2023-01-28T00:00:07.896749Z,0.15,87,12.1,-3,0,659,172.0,293.1,1540,51,1.63,85,0.5,562,0,0.64,2.59,100.0,3.2,61,0.95,57,38,0,141,2.0,0,191,133,9,100.0,11,126026,0.1,93,1.02,89,0.0,314,Partey,0,0,3,1.05,286,80.9,0.53,212,,,60,99150,a,0,262,342.8,17.46,0.3,90
7,Martin Ødegaard,70,MID,Arsenal,8,18,2.2,True,0.25,-5,0,0,3,3,20,4.4,1.0,,2022-09-18T20:00:06.315087Z,0.55,11,17.3,5,4,38733,586.0,638.7,1688,7,5.58,2,37.5,34691,0,0.91,10.27,100.0,6.0,8,4.66,121,7,0,22,2.7,0,20,7,8,100.0,17,2529808,0.3,60,1.05,13,0.0,41,Ødegaard,6,0,2,1.07,456,176.0,0.43,148,3.0,,7,4992939,a,0,5,533.2,19.69,0.3,18
8,Kieran Tierney,46,DEF,Arsenal,0,0,0.0,False,0.05,4,0,0,139,0,4,0.0,,,2022-09-26T13:00:06.430643Z,0.1,340,4.8,-4,0,118,45.0,57.1,458,80,0.26,75,0.7,540,0,0.98,0.51,100.0,1.5,268,0.26,22,134,0,293,0.5,0,58,367,1,100.0,5,144248,0.05,240,0.82,92,0.0,338,Tierney,0,0,0,0.79,93,17.6,0.2,659,,,120,74697,a,0,205,73.4,4.16,0.0,329
9,Nicolas Pépé,53,MID,Arsenal,0,0,0.0,False,0.0,2,0,0,318,0,0,0.0,,Season-long loan to Nice,2022-08-26T07:24:29.541862Z,0.0,736,0.0,-2,0,0,0.0,0.0,0,318,0.00,156,0.1,14,0,0.0,0.00,0.0,0.0,733,0.00,0,318,0,731,0.0,0,87,736,0,0.0,0,36555,0.0,308,0.0,317,0.0,157,Pépé,0,0,0,0.0,0,0.0,0.0,715,,,318,5198,u,0,438,0.0,0.00,0.0,735
10,Benjamin White,47,DEF,Arsenal,0,9,1.0,False,0.1,-2,0,0,11,4,21,2.0,,,,0.12,117,18.7,2,0,6932,55.0,281.6,1683,9,0.31,10,13.5,11328,0,0.75,2.24,,4.2,70,1.93,88,29,0,269,1.5,0,51,50,10,,14,1236100,0.02,94,1.03,79,0.0,319,White,2,0,2,1.12,410,67.4,0.53,259,,,21,2046751,a,0,27,337.6,19.24,0.2,95
11,Eddie Nketiah,68,FWD,Arsenal,4,5,4.2,False,0.06,2,0,0,30,1,7,8.4,,,,0.65,98,6.8,-2,1,15929,492.0,83.6,771,30,5.09,6,11.9,36469,0,0.93,5.61,,2.4,221,0.52,46,20,0,27,4.7,0,21,228,2,,8,419183,0.59,7,1.22,13,0.0,48,Nketiah,0,0,2,0.82,134,75.8,0.23,52,,,18,1630396,a,0,34,186.6,10.47,0.6,217
12,Emile Smith Rowe,56,MID,Arsenal,0,0,0.0,False,0.36,4,0,0,231,0,0,0.0,,Thigh injury - 25% chance of playing,2023-02-03T10:30:09.166437Z,0.52,414,0.9,-4,0,15,18.0,36.7,48,167,0.09,99,0.4,164,0,1.88,0.28,25.0,1.0,319,0.19,5,196,0,380,0.1,0,52,503,0,25.0,1,148363,0.17,315,1.12,186,0.0,98,Smith Rowe,0,0,0,0.0,21,6.8,0.0,729,,,187,25546,d,0,290,15.8,0.60,0.0,436
